id;montant_autorisation_transaction;montant_autorisation_tpe;delai_remise;delai_communication_justificatif
1;tensely till;bandwidth shoat;key absent minus;unbearably
2;whoever zealous nor;subsidiary atop;whoever;blindly
3;elaborate because rayon;about ack;zero;shabby stereo that
4;where;since;in;productive agony detoxify
5;beam aw widow;probe as snarling;oh;modern praise troubleshoot
6;sans;uh-huh;dishonest indolent;oof girdle athwart
7;whack withhold;er emergent foolishly;courageously father pungent;instead remake conclusion
8;save;until;output oof studio;busy whereas unrealistic
9;woot towards miskey;deceivingly finally;e-book;duh reluctantly
10;mid whose restfully;than;damp deficient without;but tennis
