id;code_offre;libelle_offre;reference_echange_avem;reference_echange_caps
1;soulful;sedately squeaky relent;for unhappy;mysteriously down
2;unimportant aluminum;boldly drowse big-hearted;regarding;beside
3;neonate which luminous;ouch;tank yowza bless;correspondent temperature
4;formal that hm;oh or;yesterday interestingly;exeunt corny
5;qua per batter;bivouac;nicely reluctantly only;until so foolishly
6;obfuscate less frequent;although hornet whenever;as thunderous consequently;although mail
7;next;inasmuch indeed unionize;thesis;yowza
8;hmph;mop remarkable;fooey political;per myth lack
9;qualified whoa hm;hence carefully;bouquet manacle um;downplay across
10;meh plus;lovable atomise;puny;for the inhibitor
