id;tarif_par_defaut;tarif_minimum;tarif_maximum;unite
1;whenever before;than;businessman;overheat till monstrous
2;upwardly powerfully;parallel discompose;as than alongside;whereas boohoo besides
3;gently;deadly reconstruct;apropos abbreviate streamline;hound
4;meanwhile;lean;wherever;rash
5;than;quintessential;till mid;crossly hard-hat upskill
6;systematize;trusty retreat;when acidly;whenever
7;model;blindly until;worth;resolve since dis
8;bid;upright concerning;searchingly exasperation sternly;for terribly behind
9;lest supposing chick;oof whether;clam;mid
10;by cheerfully though;fickle;miserly weakly;as without
